Title,Tags,Text
1st & 10,,"1st & 10 100 yard field marked at 10 yard increments. Perform 10 Merkins, 1 Burpee (11â€™s) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins, 2 Burpees, sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11â€™s have been completed. Plank/core exercise until remaining PAX complete. Arms Cardio Coupon Legs Mary Music Routine Run Warm-Up"
21s,,21s In unison PAX does 2-count side straddle hop and counts reps 1-5 out loud. Reps 6-21 are all mental and everyone must stop together at 21. If anyone stops early or goes over Q has PAX perform penalty workout of Qâ€™s choice. Legs Routine
4x4s,,"4 x 4s Start with arms raised in a standing position, burpee into plank followed by four Merkins followed by four mountain climbers with each leg. ""One"" is completed when returning to the standing position with arms raised. Wash, rinse, repeat. Recommended to do OYO while waiting for the 6 or waiting for a partner during a group exercise."
7 of Diamonds,,"7 of Diamonds Performed on a large diamond (i.e. a square); we use the outside of a baseball field, but any large area will work. For the first round, do 7 reps of an exercise (burpees) at each of the 4 corners with a mosey (or sprint) in between corners. Each round, increase by 7 reps with a different exercise each round, for a total of 4 rounds. Round 2, 14 four count flutter kicks at each of the 4 corners. Round 3, 21 merkins at each of the 4 corners. Round 4, 28 squats at each of the 4 corners. If time allows, continue for a total of 7 rounds, decreasing the reps by 7 for each of the last 3 rounds with exercises of the Q's choice. We will do some rounds on your own, then wait for the six each round; and some rounds we do as a group. Q's choice."
Abe Vigoda,warmup|Full Body,"A variation on the Windmill, which is peformed much more slowly and with more stretching (aka â€œOld Man Styleâ€). Usually peformed in Warm-a-rama."
Abs Are All You Need,Music|Core,"The Q plays ""Love is All You Need"" by The Beatles. Hold crunch position (supine with elbows and knees touching) throughout the song. Perform Big Boy Sit Up for every ""Love"" in the song."
Absolution,,"Absolution Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
Absolution,,"Absolution Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
Abyss Merkin,,"Abyss Merkin Perform merkins on two parallel benches, right hand and foot on one bench, and left hand and foot on the other bench, letting your body lower into the space between the benches as far a possible. Works best if done slowly, holding at the lowest point and imagining a bottomless abyss below you."
Agassis,,"Agassis Tennis court suicide drills. (Agassi has had many comebacks, aye.)"
