Title,Text
1KW,Short for One-Thousand Words.
3P (RULE OF),"To be Effective, a Team must be Proximate, Purposeful and Periodic."
3S2T,"Strength, Speed, Stamina, Toughness (physical) and Toughness (mental)."
3VITE,An invitation to The Nation from a Region or Nomad to Post to a Workout.
43 FEET,Building a Leadership Road forty-three feet ahead of the people driving on it.
4E,Short for Fourth Estate (The Media).
80/1 RULE:,"The Qâ€™s Delegation of every Task that a Team Member can do 80% as well as he can, except that 1% that absolutely and positively must be done by him."
AAR,Short for After Action Report
ABH,Short for Always Be Headlocking.
ACCELERATE,To increase the pace of Movement.
ACCELERATING MAN,A man committed to Acceleration.
ACCOMPLISHMENT ADRENALINE,Ability to maintain energy throughout a work day due to the extended adrenaline release as a direct result of accomplishing the early morning workout.
ACCOUNTABILITY,Submission to Standard through Enforcement and Consequence. (Q2.5).
ACCOUNTABILITY.TEAM,Setting and maintaining high Standards within the Team. (Q4.8).
ACTUAL PURPOSE,An Organizationâ€™s undisclosed but primary goal.
ADVANTAGE,A superior circumstance achieved by Movement.
ADVERSITY,A challenge to Acceleration created by Obstacles.
AFTER ACTION REPORT,"A brief review of what took place after an Event of some kind (workout, GrowRuck, etc.), particularly regarding leadership displayed by a Q during said event. An essential part of a good LDP. Typically comprised of 3 things that went well and 3 things that could use improvement, but could go much deeper as well. (abbr. AAR)"
AKA,Short for Also Known As.
ALR,Short for Ask-Listen-Remember.
ALSO KNOWN AS,"An alternative name for a man, a place or a thing. Abbr: AKA."
ALWAYS BE HEADLOCKING,A Qâ€™s determination to never miss an opportunity to transform a Sad Clown into an FNG. Abbr: ABH.
AM,The portion of the day between midnight and noon when most of what is going to get done does get done.
AMATEUR,A man ruled by emotional reaction rather proactive Preparedness.
ANNOUNCE-A-RAMA,The stage of the COT during which the PAX dispense G2 to the Faithful.
AO,Short for Area Of Operations.
AO-DULTERY,"When a PAX hard commits to an AO, then posts elsewhere. While considered better than fartsacking altogether, it is still a dubious practice."
APOCALYPTO,"Any winding, gloomy and dangerous trail through the woods, best run at an ankle-breaker pace."
APPRENTICESHIP,The phase of an LDP within which Positive Habit Transfer takes place. (Q4.3).
AREA OF OPERATIONS,The geographical location at which an Event takes place. Abbr: AO.
ARGUMENT,The forceful juxtaposition of opposing viewpoints in order to Persuade.
ARTICULATED PURPOSE,The primary Advantage sought by a Team or Organization.
ARTICULATION,Describing Vision to others. (Q3.5).
ASK LISTEN REMEMBER,"The method by which the Q builds Trust with his Group Members. He asks questions, listens to the answer and remembers what he hears. Abbr: ALR."
AYE,I agree.
BACK BLAST,A written account of a Workout or Event that the Q Posts to a public forum. Abbr: BB.
BALL OF MAN,"Congregation of two or more men in physical contact, usually (but not exclusively) in the prayer that terminates the COT. Abbr: BOM."
BAT FLIPPERS,Those PAX prone to demonstrative celebration of their rebellion against Institutional or cultural orthodoxy.
BB,Short for BackBlast.
BEARDED MILLENNIAL,A millennial with a beard.
BEAT DOWN,A very difficult Workout delivered by a Q with Zeal.
BELIEF SYSTEM,The conviction that there is a supernatural governing force outside of oneself that provides an ordered explanation for our existence and delivers consequences for the violation of that order.
BIG BALL,"The Earth. More generally, that which can be seen rather than that which comprises the Super Unknown."
BLACK MIATAâ€™D,"(v) getting run from an AO by a security guard or EE of said AO. Used in a sentence, â€œBV, Iâ€™ve got some bad news, we got Black Miataâ€™d at Lord Kensington today by a couple of Paul Blarttsâ€¦â€"
BLACK SWAN,Thriving in the chaos of the unpredictable.
BLACK TAHOE,Removing a man from a position in which he cannot Prosper.
BLACKWATER,A Workout so tough it leaves the PAX standing there looking backward half-unconscious from the Pain.
BLADE,A man who is Sharpened by another man within a Whetstone relationship.
BLIND SPOT,An area of a manâ€™s life that he cannot protect without help.
BLOOMBERG,An attempt by Governance to initiate Movement by fiat.
BLUE PILL,The choice of the easy-false life of a Mascot over the hard-true life of the HIM.
BLUF,Short for Bottom Line Up Front.
BOAT BURNING,A Qâ€™s demonstration of his Commitment to Living Third. EG: a wedding ceremony.
"BOBBY CREMINS (as in, to pull one)","When a man Posts to one Workout, but leaves after Startex to go to a different AO. Also, a non-Workout LIFO initiated by the M or CBD."
BOM,Short for Ball Of Man.
BOOM,The sound a new Workout makes when it is Planted.
BOTTOM LINE UP FRONT,A Qâ€™s manner of speaking and writing that makes it very clear very early what his central point is. Abbr: BLUF.
BRICK,A singular positive Habit that is Advantageous to the individual or others.
BRICKLAYING,The joining of Bricks into a Routine.
BRICKS WITHOUT STRAW,Calling on a man to lead without providing the training necessary to form positive Habits. Abbr: BWS
BRODY,The recognition that you are going to need a bigger boat.
BROTHER,A fellow man.
BTB,Short for Be The Bacon.
BUGGY WHIP SALESMAN,"A Mammon that technology has passed by, but for some reason (other than necessity) still persists."
BULLFROG,An Organization whose primary goal is Existential Continuity.
BULLWHIP,A not-so-obvious Skill possessed by a HIM. EG: Indian Jonesâ€™ ability to snap a bullwhip.
BUTT HURT,Taking offense at mere words or anything other than actual sticks and stones (the only things that truly break bones).
BUTTERBEAN,A PAX with an endomorphic body type.
BWS,Short for Bricks Without Straw.
C3,Centrally controlled collectivism.
CAMPOS,The Workout group in CNC from which F3 emerged.
CANC,To cancel an Event.
CANDOR,Graciously telling the hard truth and demanding to hear it from others. (Q3.8).
CANSECO,A Jackass who gracelessly tells a hard truth.
CANTORE,Refusing to let the weather report cancel a Workout.
CARRIER PIGEON,Delivering a Weinke to a Workout without Posting for it.
CARROTS,Incentives that reward Virtuous behavior.
Carsack,"When a PAX wakes up, dressed and walks out to the car to post...but is blocked in by visiting family"
CARTERICO,"A large area of land situated between military bases that the feds use to protect us (Cherry Point/Camp Lejeune) and a beautiful seashore that the feds stole from us (Cape Lookout). It includes such towns as Beaufort, Morehead City, Atlantic Beach and essentially stretches from Cedar Island to Cedar Point. Carterico is clannish. Foreigners are known as dit-dots and dingbatters. Carterico is proud of its lack of progress and generally skeptical of any idea that originates â€œWest-a-Raleighâ€ (including F3). (West-a-Raleigh is an acceptable identifier for any Carterican and is used to define the entire rest of the United States). The same spirit that once led Cartericans to jump in row boats in January and kill whales with their bare hands can now be found in the gloom in Rotary Park."
CAT KICKER,A manâ€™s last screw-up before he hits his bottom.
CAT NAP,"When you push a workout so hard that a member of the pax doesn't merlot, but instead has to lay down for the rest of the workout."
CBD,Short for Class-B Dependent.
CF,Short for Charlie Foxtrot.
CHAMPAGNE MILLENNIAL:,A millennial born prior to 1985.
CHAOS,Uncontrollable circumstance.
